Rsens.V1.3
Jour,Heure,PM1,PM2.5,PM10,Latitude,Longitude
#,#,µg/m3,µg/m3,µg/m3,°,°
2019-10-07,10:31:15,3,9,15,48.59971996,7.743101847
2019-10-07,10:31:30,3,9,15,48.60058291,7.743981074
2019-10-07,10:31:45,4,12,20,48.6007706,7.744234157
2019-10-07,10:32:00,4,12,20,48.60124455,7.744802786
2019-10-07,10:32:15,5,15,26,48.60141554,7.7449664
2019-10-07,10:32:30,5,15,26,48.60185755,7.745395554
2019-10-07,10:32:45,4,12,20,48.60216482,7.745626867
2019-10-07,10:33:00,3,9,15,48.60236631,7.745790482
2019-10-07,10:33:15,2,6,10,48.60265719,7.745962143
2019-10-07,10:33:30,1,3,5,48.60275936,7.745637596
2019-10-07,10:33:45,1,3,5,48.60280831,7.745248675
