Jour,Heure,PM1,PM2.5,PM10,Latitude,Longitude
2019-10-07,10:30:00,2,4,7,48.5989635,7.7424285
2019-10-07,10:30:15,3,9,15,48.599227,7.7425905
2019-10-07,10:30:30,3,9,15,48.599787,7.743076
2019-10-07,10:30:45,4,12,20,48.6001045,7.7433635
2019-10-07,10:31:00,4,12,20,48.600805,7.7441735
2019-10-07,10:31:15,5,15,26,48.601552,7.744991
2019-10-07,10:31:30,6,18,31,48.602008,7.7453725
2019-10-07,10:31:45,7,21,36,48.602382,7.7456915
2019-10-07,10:32:00,6,18,31,48.6031325,7.7462945
2019-10-07,10:32:15,6,18,31,48.603881,7.7468995
2019-10-07,10:32:30,5,15,26,48.6043765,7.747312
2019-10-07,10:32:45,5,15,26,48.604956,7.747782
2019-10-07,10:33:00,4,12,20,48.6055315,7.748259
2019-10-07,10:33:15,4,12,20,48.606239,7.748811
2019-10-07,10:33:30,5,15,26,48.606777,7.749226
2019-10-07,10:33:45,5,15,26,48.6074885,7.7496735
2019-10-07,10:33:30,4,12,20,48.6011315,7.7443935
2019-10-07,10:33:45,4,12,20,48.6013355,7.7435
2019-10-07,10:34:00,5,15,26,48.601535,7.7427375
2019-10-07,10:34:15,5,15,26,48.601857,7.74167
2019-10-07,10:31:00,2,6,10,48.6020965,7.7453875
2019-10-07,10:31:15,3,9,15,48.602205,7.744777
2019-10-07,10:31:30,4,12,20,48.602377,7.743852
2019-10-07,10:31:45,5,15,26,48.6025315,7.742866
2019-10-07,10:32:00,6,18,31,48.602657,7.742094
2019-10-07,10:31:15,3,9,15,48.59971996,7.743101847
2019-10-07,10:31:30,3,9,15,48.60058291,7.743981074
2019-10-07,10:31:45,4,12,20,48.6007706,7.744234157
2019-10-07,10:32:00,4,12,20,48.60124455,7.744802786
2019-10-07,10:32:15,5,15,26,48.60141554,7.7449664
2019-10-07,10:32:30,5,15,26,48.60185755,7.745395554
2019-10-07,10:32:45,4,12,20,48.60216482,7.745626867
2019-10-07,10:33:00,3,9,15,48.60236631,7.745790482
2019-10-07,10:33:15,2,6,10,48.60265719,7.745962143
2019-10-07,10:33:30,1,3,5,48.60275936,7.745637596
2019-10-07,10:33:45,1,3,5,48.60280831,7.745248675
2019-10-07,10:33:15,4,12,20,48.604435,7.7474915
2019-10-07,10:33:30,5,15,26,48.6042745,7.747847
2019-10-07,10:33:45,6,18,31,48.604172,7.7480915
2019-10-07,10:34:00,8,24,41,48.6041065,7.7484365
2019-10-07,10:34:15,10,30,51,48.60402,7.7489545
2019-10-07,10:34:30,15,45,77,48.603968,7.7494145
2019-10-07,10:34:45,14,42,71,48.603956,7.7497715
2019-10-07,10:35:00,13,39,66,48.6039675,7.750076
2019-10-07,10:35:15,12,36,61,48.6040425,7.7505685
