Rsens.V1.4
Jour,Heure,PM1,PM2.5,PM10,Latitude,Longitude
#,#,µg/m3,µg/m3,µg/m3,°,°
2019-10-07,10:33:15,4,12,20,48.604435,7.7474915
2019-10-07,10:33:30,5,15,26,48.6042745,7.747847
2019-10-07,10:33:45,6,18,31,48.604172,7.7480915
2019-10-07,10:34:00,8,24,41,48.6041065,7.7484365
2019-10-07,10:34:15,10,30,51,48.60402,7.7489545
2019-10-07,10:34:30,15,45,77,48.603968,7.7494145
2019-10-07,10:34:45,14,42,71,48.603956,7.7497715
2019-10-07,10:35:00,13,39,66,48.6039675,7.750076
2019-10-07,10:35:15,12,36,61,48.6040425,7.7505685
